login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
asoldano,26,1,85,3,39,1,64,1,33,0,1290.841667,111.5,76.5,0,0,0,0,0,0.105436116,0.092067381,0.130519112,0.117295999,180.4753086,120.9719626,16.5,0.182574186,0.243477166,22.08358919,Human,Issues/PRs
stephanlindauer,11,4,3,2,1,1,17,1,42,34,0,60,0,0,0,0,0,0,0,0,0.027874734,0,59,0,1,0,0.387096774,3.451612903,Human,Issues/PRs
trentmwillis,25,5,17,2,3,2,10,1,181,6,2403.283333,204,147,0,0,0,0,0,0.05,0.187906768,0.110822114,0.157943018,154,139,16,0,0,14.97657615,Human,Issues/PRs
platinumazure,9,2,39,3,22,2,48,1,57,2,0,205.5,143.5,0,0,0,0,0,0.256931662,0.206915246,0.251150593,0.210590832,243.1456954,193.9040404,20.5,0.111803399,0.129715673,20.85917456,Human,Issues/PRs
mdamien,31,3,39,3,92,3,106,2,113,79,0,101,207,0,0,0,0,12,0.108033954,0.283505757,0.12854255,0.293786496,183.3723849,292.9677419,15.5,0,0,16.40812474,Human,Issues/PRs
boogheta,20,5,23,2,118,4,44,2,61,12,25.08333333,120,112,0,0,0,0,0,0.093525986,0.084515425,0.132020032,0.113434989,140.46,175.3106796,20.5,0,0.04743364,22.042896,Human,Issues/PRs
sebastianbergmann,8,3,13,2,48,3,214,1,5656,0,0,108,300,0,0,0,0,5,0.140625,0.113484494,0.158186518,0.173454611,367.9160305,455.2333333,12,0,0.102959093,13.83351457,Human,Issues/PRs
willemstuursma,17,3,22,3,35,3,32,2,49,7,0,70,63,0,0,0,0,0,0.100251891,0.125244858,0.135546297,0.139982871,125.527027,357.969697,40.40740741,0.296499727,0.313027598,36.98009016,Human,Issues/PRs
mnapoli,33,4,52,3,116,3,62,1,926,57,3.391666667,126,219,0,0,0,0,20.5,0.141421356,0.200986886,0.160807908,0.203411714,186.2096484,328.329366,21,0,0.057577393,34.55490616,Human,Issues/PRs
garyb,14,4,27,3,91,3,14,1,271,19,0,130,109.5,0,0,0,0,1,0.232596839,0.147317437,0.234267302,0.164649704,200.2935323,193.1976744,15,0.105409255,0.191408,20.52493493,Human,Issues/PRs
markerikson,17,2,51,3,175,4,33,1,2370,3,58.7,233,415,0,0,0,0,9,0.20410971,0.2058121,0.217394473,0.245480941,370.9221774,546.9943503,23.06318681,0,0.091338279,32.22923064,Human,Issues/PRs
edorivai,1,1,4,2,14,3,3,1,11,1,3899.466667,93.5,205.5,0,0,0,0,0,0.204345414,0.238154462,0.196558461,0.232520484,134.7857143,318.0666667,6.5,0,0.333333333,4.611111111,Human,Issues/PRs
domtronn,17,4,8,2,7,2,81,1,64,1,35.95,173.5,197,0,0,0,0,0,0.197259007,0.734494357,0.191261023,0.822012954,155.75,137.6666667,21.5,0,0.08051939,23.02052988,Human,Issues/PRs
facetoe,15,2,9,2,17,2,12,1,30,13,1073.6375,53.5,289,0,0,0,0,0,0.076279001,0.200975956,0.104998546,0.224397492,104.6969697,299.8,19.5,0,0,19.5,Human,Issues/PRs
alvin-reyes,8,4,22,2,14,2,23,1,37,11,0,24,36,0,0,0,0,0,0.21821789,0.109108945,0.21821789,0.109108945,24,36,13.77777778,0.666666667,0.615159404,13.10792735,Human,Issues/PRs
stoneChen,3,3,1,1,3,2,2,1,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
